PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FI_LAST,PLAYER_SLUG,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,ROSTERSTATUS,GAMES_PLAYED_CURRENT_SEASON_FLAG,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_CITY,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GREATEST_75_FLAG
203937,Kyle,Anderson,Kyle Anderson,"Anderson, Kyle",K. Anderson,kyle-anderson,1993-09-20T00:00:00,UCLA,USA,UCLA/USA,6-9,230.0,10,20.0,Forward-Guard,Active,Y,1610612748,Heat,MIA,heat,Miami,kyle_anderson,2014,2024,Y,Y,Y,2014,1,30,N
203507,Giannis,Antetokounmpo,Giannis Antetokounmpo,"Antetokounmpo, Giannis",G. Antetokounmpo,giannis-antetokounmpo,1994-12-06T00:00:00,Filathlitikos,Greece,Filathlitikos/Greece,6-11,243.0,11,34.0,Forward,Active,Y,1610612749,Bucks,MIL,bucks,Milwaukee,giannis_antetokounmpo,2013,2024,N,Y,Y,2013,1,15,Y
1630175,Cole,Anthony,Cole Anthony,"Anthony, Cole",C. Anthony,cole-anthony,2000-05-15T00:00:00,North Carolina,USA,North Carolina/USA,6-2,185.0,4,50.0,Guard,Active,Y,1610612753,Magic,ORL,magic,Orlando,cole_anthony,2020,2024,N,Y,Y,2020,1,15,N
1628384,OG,Anunoby,OG Anunoby,"Anunoby, OG",O. Anunoby,og-anunoby,1997-07-17T00:00:00,Indiana,United Kingdom,Indiana/United Kingdom,6-7,240.0,7,8.0,Forward-Guard,Active,Y,1610612752,Knicks,NYK,knicks,New York,og_anunoby,2017,2024,N,Y,Y,2017,1,23,N
1630166,Deni,Avdija,Deni Avdija,"Avdija, Deni",D. Avdija,deni-avdija,2001-01-03T00:00:00,Maccabi Tel Aviv,Israel,Maccabi Tel Aviv/Israel,6-9,240.0,4,8.0,Forward,Active,Y,1610612757,Trail Blazers,POR,blazers,Portland,deni_avdija,2020,2024,N,Y,Y,2020,1,9,N
1629028,Deandre,Ayton,Deandre Ayton,"Ayton, Deandre",D. Ayton,deandre-ayton,1998-07-23T00:00:00,Arizona,Bahamas,Arizona/Bahamas,7-0,252.0,6,2.0,Center,Active,Y,1610612757,Trail Blazers,POR,blazers,Portland,deandre_ayton,2018,2024,N,Y,Y,2018,1,1,N
1628963,Marvin,Bagley III,Marvin Bagley III,"Bagley III, Marvin",M. Bagley III,marvin-bagley-iii,1999-03-14T00:00:00,Duke,USA,Duke/USA,6-10,235.0,6,35.0,Forward,Active,Y,1610612763,Grizzlies,MEM,grizzlies,Memphis,marvin_bagley_iii,2018,2024,N,Y,Y,2018,1,2,N
1631116,Patrick,Baldwin Jr.,Patrick Baldwin Jr.,"Baldwin Jr., Patrick",P. Baldwin Jr.,patrick-baldwin-jr,2002-11-18T00:00:00,Wisconsin-Milwaukee,USA,Wisconsin-Milwaukee/USA,6-9,220.0,2,23.0,Forward,Active,Y,1610612746,Clippers,LAC,clippers,LA,patrick_baldwin_jr,2022,2024,Y,Y,Y,2022,1,28,N
1630163,LaMelo,Ball,LaMelo Ball,"Ball, LaMelo",L. Ball,lamelo-ball,2001-08-22T00:00:00,Illawarra,USA,Illawarra/USA,6-7,180.0,4,1.0,Guard,Active,Y,1610612766,Hornets,CHA,hornets,Charlotte,lamelo_ball,2020,2024,N,Y,Y,2020,1,3,N
1628366,Lonzo,Ball,Lonzo Ball,"Ball, Lonzo",L. Ball,lonzo-ball,1997-10-27T00:00:00,UCLA,USA,UCLA/USA,6-6,190.0,5,2.0,Guard,Active,Y,1610612741,Bulls,CHI,bulls,Chicago,lonzo_ball,2017,2024,N,Y,Y,2017,1,2,N
1628964,Mo,Bamba,Mo Bamba,"Bamba, Mo",M. Bamba,mo-bamba,1998-05-12T00:00:00,Texas,USA,Texas/USA,7-0,231.0,6,,Center,Inactive,Y,0,,,,,mohamed_bamba,2018,2024,Y,Y,Y,2018,1,6,N
1631094,Paolo,Banchero,Paolo Banchero,"Banchero, Paolo",P. Banchero,paolo-banchero,2002-11-12T00:00:00,Duke,USA,Duke/USA,6-10,250.0,2,5.0,Forward,Active,Y,1610612753,Magic,ORL,magic,Orlando,paolo_banchero,2022,2024,N,Y,Y,2022,1,1,N
1630217,Desmond,Bane,Desmond Bane,"Bane, Desmond",D. Bane,desmond-bane,1998-06-25T00:00:00,TCU,USA,TCU/USA,6-5,215.0,4,22.0,Guard,Active,Y,1610612763,Grizzlies,MEM,grizzlies,Memphis,desmond_bane,2020,2024,N,Y,Y,2020,1,30,N
1630625,Dalano,Banton,Dalano Banton,"Banton, Dalano",D. Banton,dalano-banton,1999-11-07T00:00:00,Nebraska,Canada,Nebraska/Canada,6-8,203.0,3,5.0,Forward,Active,Y,1610612757,Trail Blazers,POR,blazers,Portland,dalano_banton,2021,2024,Y,Y,Y,2021,2,46,N
1631230,Dominick,Barlow,Dominick Barlow,"Barlow, Dominick",D. Barlow,dominick-barlow,2003-05-26T00:00:00,Overtime Elite,USA,Overtime Elite/USA,6-8,215.0,2,26.0,Forward,Active,Y,1610612737,Hawks,ATL,hawks,Atlanta,dominick_barlow,2022,2024,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
203084,Harrison,Barnes,Harrison Barnes,"Barnes, Harrison",H. Barnes,harrison-barnes,1992-05-30T00:00:00,North Carolina,USA,North Carolina/USA,6-8,225.0,12,40.0,Forward,Active,Y,1610612759,Spurs,SAS,spurs,San Antonio,harrison_barnes,2012,2024,N,Y,Y,2012,1,7,N
1630567,Scottie,Barnes,Scottie Barnes,"Barnes, Scottie",S. Barnes,scottie-barnes,2001-08-01T00:00:00,Florida State,USA,Florida State/USA,6-7,237.0,3,4.0,Forward-Guard,Active,Y,1610612761,Raptors,TOR,raptors,Toronto,scottie_barnes,2021,2024,N,Y,Y,2021,1,4,N
1629628,RJ,Barrett,RJ Barrett,"Barrett, RJ",R. Barrett,rj-barrett,2000-06-14T00:00:00,Duke,Canada,Duke/Canada,6-6,214.0,5,9.0,Forward-Guard,Active,Y,1610612761,Raptors,TOR,raptors,Toronto,rj_barrett,2019,2024,N,Y,Y,2019,1,3,N
1629646,Charles,Bassey,Charles Bassey,"Bassey, Charles",C. Bassey,charles-bassey,2000-10-28T00:00:00,Western Kentucky,Nigeria,Western Kentucky/Nigeria,6-10,230.0,3,28.0,Center-Forward,Active,Y,1610612759,Spurs,SAS,spurs,San Antonio,charles_bassey,2021,2024,Y,Y,Y,2021,2,53,N
1641734,Emoni,Bates,Emoni Bates,"Bates, Emoni",E. Bates,emoni-bates,2004-01-28T00:00:00,Eastern Michigan,USA,Eastern Michigan/USA,6-8,170.0,1,21.0,Forward,Active,Y,1610612739,Cavaliers,CLE,cavaliers,Cleveland,emoni_bates,2023,2024,Y,Y,Y,2023,2,49,N
1642419,Jamison,Battle,Jamison Battle,"Battle, Jamison",J. Battle,jamison-battle,2001-05-10T00:00:00,Ohio State,USA,Ohio State/USA,6-7,220.0,0,77.0,Forward,Active,Y,1610612761,Raptors,TOR,raptors,Toronto,jamison_battle,2024,2024,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
201587,Nicolas,Batum,Nicolas Batum,"Batum, Nicolas",N. Batum,nicolas-batum,1988-12-14T00:00:00,Le Mans,France,Le Mans/France,6-8,230.0,16,33.0,Guard-Forward,Active,Y,1610612746,Clippers,LAC,clippers,LA,nicolas_batum,2008,2024,N,Y,Y,2008,1,25,N
203078,Bradley,Beal,Bradley Beal,"Beal, Bradley",B. Beal,bradley-beal,1993-06-28T00:00:00,Florida,USA,Florida/USA,6-4,207.0,12,3.0,Guard,Active,Y,1610612756,Suns,PHX,suns,Phoenix,bradley_beal,2012,2024,N,Y,Y,2012,1,3,N
1627736,Malik,Beasley,Malik Beasley,"Beasley, Malik",M. Beasley,malik-beasley,1996-11-26T00:00:00,Florida State,USA,Florida State/USA,6-4,187.0,8,5.0,Guard,Active,Y,1610612765,Pistons,DET,pistons,Detroit,malik_beasley,2016,2024,Y,Y,Y,2016,1,19,N
1630699,MarJon,Beauchamp,MarJon Beauchamp,"Beauchamp, MarJon",M. Beauchamp,marjon-beauchamp,2000-10-12T00:00:00,NBA G League Ignite,USA,NBA G League Ignite/USA,6-7,199.0,2,0.0,Forward,Active,Y,1610612752,Knicks,NYK,knicks,New York,marjon_beauchamp,2021,2024,Y,Y,Y,2022,1,24,N
1641736,Reece,Beekman,Reece Beekman,"Beekman, Reece",R. Beekman,reece-beekman,2001-10-08T00:00:00,Virginia,USA,Virginia/USA,6-3,190.0,0,4.0,Guard,Active,Y,1610612751,Nets,BKN,nets,Brooklyn,reece_beekman,2024,2024,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1630180,Saddiq,Bey,Saddiq Bey,"Bey, Saddiq",S. Bey,saddiq-bey,1999-04-09T00:00:00,Villanova,USA,Villanova/USA,6-7,215.0,4,14.0,Guard-Forward,Active,N,1610612764,Wizards,WAS,wizards,Washington,saddiq_bey,2020,2024,N,Y,Y,2020,1,19,N
1629048,Goga,Bitadze,Goga Bitadze,"Bitadze, Goga",G. Bitadze,goga-bitadze,1999-07-20T00:00:00,Mega Basket,Georgia,Mega Basket/Georgia,6-10,250.0,5,35.0,Center-Forward,Active,Y,1610612753,Magic,ORL,magic,Orlando,goga_bitadze,2019,2024,Y,Y,Y,2019,1,18,N
1641710,Anthony,Black,Anthony Black,"Black, Anthony",A. Black,anthony-black,2004-01-20T00:00:00,Arkansas,USA,Arkansas/USA,6-7,200.0,1,0.0,Guard,Active,Y,1610612753,Magic,ORL,magic,Orlando,anthony_black,2023,2024,N,Y,Y,2023,1,6,N
203992,Bogdan,Bogdanović,Bogdan Bogdanović,"Bogdanović, Bogdan",B. Bogdanović,bogdan-bogdanović,1992-08-18T00:00:00,Fenerbahce,Serbia,Fenerbahce/Serbia,6-5,225.0,7,10.0,Guard,Active,Y,1610612746,Clippers,LAC,clippers,LA,bogdan_bogdanovic,2017,2024,N,Y,Y,2014,1,27,N
202711,Bojan,Bogdanović,Bojan Bogdanović,"Bogdanović, Bojan",B. Bogdanović,bojan-bogdanović,1989-04-18T00:00:00,Fenerbahce,Croatia,Fenerbahce/Croatia,6-7,226.0,11,44.0,Forward,Inactive,N,1610612752,Knicks,NYK,knicks,New York,bojan_bogdanovic,2014,2023,N,Y,Y,2011,2,31,N
1629626,Bol,Bol,Bol Bol,"Bol, Bol",B. Bol,bol-bol,1999-11-16T00:00:00,Oregon,Sudan,Oregon/Sudan,7-3,220.0,5,11.0,Center-Forward,Active,Y,1610612756,Suns,PHX,suns,Phoenix,bol_bol,2019,2024,Y,Y,Y,2019,2,44,N
1641737,Adem,Bona,Adem Bona,"Bona, Adem",A. Bona,adem-bona,2003-03-28T00:00:00,UCLA,Nigeria,UCLA/Nigeria,6-10,235.0,0,30.0,Forward,Active,Y,1610612755,76ers,PHI,sixers,Philadelphia,adem_bona,2024,2024,Y,Y,Y,2024,2,41,N
1626164,Devin,Booker,Devin Booker,"Booker, Devin",D. Booker,devin-booker,1996-10-30T00:00:00,Kentucky,USA,Kentucky/USA,6-6,206.0,9,1.0,Guard,Active,Y,1610612756,Suns,PHX,suns,Phoenix,devin_booker,2015,2024,N,Y,Y,2015,1,13,N
1630527,Brandon,Boston,Brandon Boston,"Boston, Brandon",B. Boston,brandon-boston,2001-11-28T00:00:00,Kentucky,USA,Kentucky/USA,6-6,188.0,3,11.0,Guard,Active,Y,1610612740,Pelicans,NOP,pelicans,New Orleans,brandon_boston_jr,2021,2024,Y,Y,Y,2021,2,51,N
1628449,Chris,Boucher,Chris Boucher,"Boucher, Chris",C. Boucher,chris-boucher,1993-01-11T00:00:00,Oregon,Saint Lucia,Oregon/Saint Lucia,6-9,200.0,7,25.0,Forward,Active,Y,1610612761,Raptors,TOR,raptors,Toronto,chris_boucher,2017,2024,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1631103,Malaki,Branham,Malaki Branham,"Branham, Malaki",M. Branham,malaki-branham,2003-05-12T00:00:00,Ohio State,USA,Ohio State/USA,6-4,180.0,2,22.0,Forward,Active,Y,1610612759,Spurs,SAS,spurs,San Antonio,malaki_branham,2022,2024,Y,Y,Y,2022,1,20,N
1631128,Christian,Braun,Christian Braun,"Braun, Christian",C. Braun,christian-braun,2001-04-17T00:00:00,Kansas,USA,Kansas/USA,6-6,220.0,2,0.0,Guard,Active,Y,1610612743,Nuggets,DEN,nuggets,Denver,christian_braun,2022,2024,N,Y,Y,2022,1,21,N
1641779,Jalen,Bridges,Jalen Bridges,"Bridges, Jalen",J. Bridges,jalen-bridges,2001-05-14T00:00:00,Baylor,USA,Baylor/USA,6-8,225.0,0,15.0,Forward,Active,Y,1610612756,Suns,PHX,suns,Phoenix,jalen_bridges,2024,2024,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1628969,Mikal,Bridges,Mikal Bridges,"Bridges, Mikal",M. Bridges,mikal-bridges,1996-08-30T00:00:00,Villanova,USA,Villanova/USA,6-6,209.0,6,25.0,Guard-Forward,Active,Y,1610612752,Knicks,NYK,knicks,New York,mikal_bridges,2018,2024,N,Y,Y,2018,1,10,N
1628970,Miles,Bridges,Miles Bridges,"Bridges, Miles",M. Bridges,miles-bridges,1998-03-21T00:00:00,Michigan State,USA,Michigan State/USA,6-7,225.0,5,0.0,Forward,Active,Y,1610612766,Hornets,CHA,hornets,Charlotte,miles_bridges,2018,2024,N,Y,Y,2018,1,12,N
1627763,Malcolm,Brogdon,Malcolm Brogdon,"Brogdon, Malcolm",M. Brogdon,malcolm-brogdon,1992-12-11T00:00:00,Virginia,USA,Virginia/USA,6-4,229.0,8,15.0,Guard,Active,Y,1610612764,Wizards,WAS,wizards,Washington,malcolm_brogdon,2016,2024,N,Y,Y,2016,2,36,N
1628415,Dillon,Brooks,Dillon Brooks,"Brooks, Dillon",D. Brooks,dillon-brooks,1996-01-22T00:00:00,Oregon,Canada,Oregon/Canada,6-6,225.0,7,9.0,Guard-Forward,Active,Y,1610612745,Rockets,HOU,rockets,Houston,dillon_brooks,2017,2024,N,Y,Y,2017,2,45,N
1631232,Keion,Brooks Jr.,Keion Brooks Jr.,"Brooks Jr., Keion",K. Brooks Jr.,keion-brooks-jr,2000-08-07T00:00:00,Washington,USA,Washington/USA,6-7,210.0,0,,Forward,Active,Y,1610612740,Pelicans,NOP,pelicans,New Orleans,keion_brooks_jr,2024,2024,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1628971,Bruce,Brown,Bruce Brown,"Brown, Bruce",B. Brown,bruce-brown,1996-08-15T00:00:00,Miami,USA,Miami/USA,6-4,202.0,6,0.0,Guard-Forward,Active,Y,1610612740,Pelicans,NOP,pelicans,New Orleans,bruce_brown,2018,2024,Y,Y,Y,2018,2,42,N
1627759,Jaylen,Brown,Jaylen Brown,"Brown, Jaylen",J. Brown,jaylen-brown,1996-10-24T00:00:00,California,USA,California/USA,6-6,223.0,8,7.0,Guard-Forward,Active,Y,1610612738,Celtics,BOS,celtics,Boston,jaylen_brown,2016,2024,N,Y,Y,2016,1,3,N
1641738,Kobe,Brown,Kobe Brown,"Brown, Kobe",K. Brown,kobe-brown,2000-01-01T00:00:00,Missouri,USA,Missouri/USA,6-7,250.0,1,21.0,Forward,Active,Y,1610612746,Clippers,LAC,clippers,LA,kobe_brown,2023,2024,Y,Y,Y,2023,1,30,N
1629650,Moses,Brown,Moses Brown,"Brown, Moses",M. Brown,moses-brown,1999-10-13T00:00:00,UCLA,USA,UCLA/USA,7-2,258.0,5,,Center,Inactive,Y,0,,,,,moses_brown,2019,2024,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1628973,Jalen,Brunson,Jalen Brunson,"Brunson, Jalen",J. Brunson,jalen-brunson,1996-08-31T00:00:00,Villanova,USA,Villanova/USA,6-2,190.0,6,11.0,Guard,Active,Y,1610612752,Knicks,NYK,knicks,New York,jalen_brunson,2018,2024,N,Y,Y,2018,2,33,N
1628418,Thomas,Bryant,Thomas Bryant,"Bryant, Thomas",T. Bryant,thomas-bryant,1997-07-31T00:00:00,Indiana,USA,Indiana/USA,6-10,248.0,7,3.0,Center-Forward,Active,Y,1610612754,Pacers,IND,pacers,Indiana,thomas_bryant,2017,2024,Y,Y,Y,2017,2,42,N
1641723,Kobe,Bufkin,Kobe Bufkin,"Bufkin, Kobe",K. Bufkin,kobe-bufkin,2003-09-21T00:00:00,Michigan,USA,Michigan/USA,6-4,195.0,1,4.0,Guard,Active,Y,1610612737,Hawks,ATL,hawks,Atlanta,kobe_bufkin,2023,2024,Y,Y,Y,2023,1,15,N
202692,Alec,Burks,Alec Burks,"Burks, Alec",A. Burks,alec-burks,1991-07-20T00:00:00,Colorado,USA,Colorado/USA,6-5,214.0,13,18.0,Guard,Active,Y,1610612748,Heat,MIA,heat,Miami,alec_burks,2011,2024,Y,Y,Y,2011,1,12,N
1630215,Jared,Butler,Jared Butler,"Butler, Jared",J. Butler,jared-butler,2000-08-25T00:00:00,Baylor,USA,Baylor/USA,6-3,193.0,3,12.0,Guard,Active,Y,1610612755,76ers,PHI,sixers,Philadelphia,jared_butler,2021,2024,Y,Y,Y,2021,2,40,N
202710,Jimmy,Butler III,Jimmy Butler III,"Butler III, Jimmy",J. Butler III,jimmy-butler-iii,1989-09-14T00:00:00,Marquette,USA,Marquette/USA,6-7,230.0,13,10.0,Forward,Active,Y,1610612744,Warriors,GSW,warriors,Golden State,jimmy_butler,2011,2024,N,Y,Y,2011,1,30,N
1641824,Matas,Buzelis,Matas Buzelis,"Buzelis, Matas",M. Buzelis,matas-buzelis,2004-10-13T00:00:00,NBA G League Ignite,USA,NBA G League Ignite/USA,6-10,209.0,0,14.0,Forward,Active,Y,1610612741,Bulls,CHI,bulls,Chicago,matas_buzelis,2023,2024,Y,Y,Y,2024,1,11,N
1631288,Jamal,Cain,Jamal Cain,"Cain, Jamal",J. Cain,jamal-cain,1999-03-20T00:00:00,Oakland,USA,Oakland/USA,6-6,191.0,2,8.0,Forward,Active,Y,1610612740,Pelicans,NOP,pelicans,New Orleans,jamal_cain,2022,2024,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
203484,Kentavious,Caldwell-Pope,Kentavious Caldwell-Pope,"Caldwell-Pope, Kentavious",K. Caldwell-Pope,kentavious-caldwell-pope,1993-02-18T00:00:00,Georgia,USA,Georgia/USA,6-5,204.0,11,3.0,Guard,Active,Y,1610612753,Magic,ORL,magic,Orlando,kentavious_caldwell-pope,2013,2024,N,Y,Y,2013,1,8,N
1641739,Toumani,Camara,Toumani Camara,"Camara, Toumani",T. Camara,toumani-camara,2000-05-08T00:00:00,Dayton,Belgium,Dayton/Belgium,6-7,229.0,1,33.0,Forward,Active,Y,1610612757,Trail Blazers,POR,blazers,Portland,toumani_camara,2023,2024,N,Y,Y,2023,2,52,N
203991,Clint,Capela,Clint Capela,"Capela, Clint",C. Capela,clint-capela,1994-05-18T00:00:00,Elan Chalon,Switzerland,Elan Chalon/Switzerland,6-10,256.0,10,15.0,Center,Active,Y,1610612737,Hawks,ATL,hawks,Atlanta,clint_capela,2014,2024,Y,Y,Y,2014,1,25,N
1642382,Branden,Carlson,Branden Carlson,"Carlson, Branden",B. Carlson,branden-carlson,1999-06-14T00:00:00,Utah,USA,Utah/USA,7-0,220.0,0,15.0,Center,Active,Y,1610612760,Thunder,OKC,thunder,Oklahoma City,branden_carlson,2024,2024,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1642267,Bub,Carrington,Bub Carrington,"Carrington, Bub",B. Carrington,bub-carrington,2005-07-21T00:00:00,Pittsburgh,USA,Pittsburgh/USA,6-4,190.0,0,8.0,Guard,Active,Y,1610612764,Wizards,WAS,wizards,Washington,carlton_carrington,2024,2024,N,Y,Y,2024,1,14,N
1642269,Devin,Carter,Devin Carter,"Carter, Devin",D. Carter,devin-carter,2002-03-18T00:00:00,Providence,USA,Providence/USA,6-2,195.0,0,22.0,Guard,Active,Y,1610612758,Kings,SAC,kings,Sacramento,tmp_devin_carter,2024,2024,Y,Y,Y,2024,1,13,N
1628975,Jevon,Carter,Jevon Carter,"Carter, Jevon",J. Carter,jevon-carter,1995-09-14T00:00:00,West Virginia,USA,West Virginia/USA,6-1,200.0,6,5.0,Guard,Active,Y,1610612741,Bulls,CHI,bulls,Chicago,jevon_carter,2018,2024,Y,Y,Y,2018,2,32,N
1628976,Wendell,Carter Jr.,Wendell Carter Jr.,"Carter Jr., Wendell",W. Carter Jr.,wendell-carter-jr,1999-04-16T00:00:00,Duke,USA,Duke/USA,6-10,270.0,6,34.0,Center-Forward,Active,Y,1610612753,Magic,ORL,magic,Orlando,wendell_carter_jr,2018,2024,N,Y,Y,2018,1,7,N
1630618,D.J.,Carton,D.J. Carton,"Carton, D.J.",D. Carton,dj-carton,2000-08-05T00:00:00,Marquette,USA,Marquette/USA,6-3,200.0,1,,Guard,Inactive,Y,0,,,,,dj_carton,2023,2024,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1627936,Alex,Caruso,Alex Caruso,"Caruso, Alex",A. Caruso,alex-caruso,1994-02-28T00:00:00,Texas A&M,USA,Texas A&M/USA,6-5,186.0,7,9.0,Guard,Active,Y,1610612760,Thunder,OKC,thunder,Oklahoma City,alex_caruso,2017,2024,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1642264,Stephon,Castle,Stephon Castle,"Castle, Stephon",S. Castle,stephon-castle,2004-11-01T00:00:00,Connecticut,USA,Connecticut/USA,6-6,215.0,0,5.0,Guard,Active,Y,1610612759,Spurs,SAS,spurs,San Antonio,stephen_castle,2024,2024,N,Y,Y,2024,1,4,N
1630658,Colin,Castleton,Colin Castleton,"Castleton, Colin",C. Castleton,colin-castleton,2000-05-25T00:00:00,Florida,USA,Florida/USA,6-10,250.0,1,8.0,Center,Active,Y,1610612761,Raptors,TOR,raptors,Toronto,colin_castleton,2023,2024,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1630577,Julian,Champagnie,Julian Champagnie,"Champagnie, Julian",J. Champagnie,julian-champagnie,2001-06-29T00:00:00,St. John's,USA,St. John's/USA,6-7,217.0,2,30.0,Forward,Active,Y,1610612759,Spurs,SAS,spurs,San Antonio,julian_champagnie,2022,2024,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1630551,Justin,Champagnie,Justin Champagnie,"Champagnie, Justin",J. Champagnie,justin-champagnie,2001-06-29T00:00:00,Pittsburgh,USA,Pittsburgh/USA,6-6,206.0,3,9.0,Guard-Forward,Active,Y,1610612764,Wizards,WAS,wizards,Washington,justin_champagnie,2021,2024,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1642279,Ulrich,Chomche,Ulrich Chomche,"Chomche, Ulrich",U. Chomche,ulrich-chomche,2005-12-30T00:00:00,NBA Global Academy,Cameroon,NBA Global Academy/Cameroon,6-11,235.0,0,22.0,Center,Active,Y,1610612761,Raptors,TOR,raptors,Toronto,ulrich_chomche,2024,2024,Y,Y,Y,2024,2,57,N
1642353,Cam,Christie,Cam Christie,"Christie, Cam",C. Christie,cam-christie,2005-07-24T00:00:00,Minnesota,USA,Minnesota/USA,6-6,190.0,0,12.0,Guard,Active,Y,1610612746,Clippers,LAC,clippers,LA,cam_christie,2024,2024,Y,Y,Y,2024,2,46,N
